Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,100nf,C14663
"C2, C3",0603,2,100n,C14663
"C5, C6",CP_Elec_5x3,2,10uf,C249450
"C7, C8",CP_Elec_4x3,2,4.7u,C249551
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,C114586
D13,D_SOD-323F,1,SD103,C191023
"H1, H2",MountingHole_2.5mm,2,MountingHole,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle,C165948
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02_Pin,C173752
J3,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C5160761
L1,L_Vishay_IHLP-2020,1,4.7uh,C845007
R1,0603,1,2k,C25981
R2,0603,1,5k1,C23186
RV1,ALPSALPINE RS08U111Z001,1,R_Potentiometer,C202411
SW1,SW_SPDT_PCM12,1,SW_SPST,C221660
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32G030F6P6,C529330
U2,SOT-23-5,1,LR4054,C5336483
U3,SOT-23-5,1,TPS613222ADBV,C2071163
U4,SOT-89-3,1,AMS1117-3.3,C2904742
