Designator,Mid X,Mid Y,Rotation,Layer
C1,158.8,-73.1,0.0,top
C2,146.675,-81.6,0.0,top
C3,146.625,-83.4,0.0,top
C4,161.7,-78.875,90.0,top
C5,151.4,-87.5,0.0,bottom
C6,158.2,-69.3,180.0,bottom
C7,136.1,-74.9,0.0,top
C8,146.8,-94.1,180.0,top
D1,155.45,-67.95,0.0,top
D10,128.75,-70.15,0.0,top
D11,137.45,-67.55,0.0,top
D12,146.65,-75.05,0.0,top
D13,134.2,-81.3,0.0,top
D2,164.55,-70.05,0.0,top
D3,166.85,-78.35,0.0,top
D4,161.35,-86.25,0.0,top
D5,154.45,-93.65,0.0,top
D6,147.25,-100.85,0.0,top
D7,139.75,-93.65,0.0,top
D8,133.85,-87.25,0.0,top
D9,127.85,-79.35,0.0,top
J1,161.9552,-89.6527,225.0,bottom
J2,146.6,-97.7,180.0,bottom
J3,164.55,-75.7,180.0,bottom
L1,141.7265,-87.7,0.0,top
R1,150.125,-84.3,0.0,top
R2,143.275,-81.6,0.0,top
RV1,138.19,-89.59,180.0,bottom
SW1,127.5,-74.975,0.0,bottom
U1,156.5,-78.7,0.0,top
U2,148.5375,-87.2,0.0,top
U3,138.8375,-81.7,0.0,top
U4,154.7,-85.9,0.0,top
