Designator,Mid X,Mid Y,Rotation,Layer
C1,149.31,-83.07,0.0,top
C2,77.175,-62.44,30.0,top
C3,59.3725,-121.2988,300.0,top
C4,149.8194,-106.3786,75.0,top
C5,136.27,-92.65,180.0,top
C6,128.09,-73.2,180.0,top
C7,79.0712,-65.86,30.0,top
C8,63.78,-119.4112,300.0,top
D1,150.0,-100.0,0.0,top
D10,143.3013,-75.0,300.0,top
D11,125.0,-56.6987,240.0,top
D12,100.0,-50.0,180.0,top
D2,143.3013,-125.0,60.0,top
D3,125.0,-143.3013,120.0,top
D4,56.6987,-125.0,300.0,top
D5,75.0,-143.3013,240.0,top
D6,100.0,-150.0,180.0,top
D7,75.0,-56.6987,120.0,top
D8,56.6987,-75.0,60.0,top
D9,50.0,-100.0,0.0,top
J1,135.72,-63.86,135.0,top
J2,149.2224,-112.4719,75.0,top
J3,133.97,-80.3,30.0,top
L1,137.32,-104.8435,90.0,top
R1,142.9331,-113.1465,345.0,top
R2,128.656637,-67.526637,135.0,top
SW1,137.19,-137.22,45.0,top
U1,147.5475,-88.375,270.0,top
U2,143.8629,-110.032,165.0,top
U3,141.6797,-98.2903,0.0,top
U4,140.91,-86.02,0.0,top
